Tarih,Saat,PTF (TL/MWh),Yük Tahmin Planı (MWh),Doğalgaz,Rüzgar,Linyit,İthal Kömür,Jeotermal,Barajlı,Biyokütle,Akarsu,Gunes,Dolar_Kuru,dogalgaz_fiyatlari_Mwh
2025-01-01,00:00,2494.0,32297.0,5753.31,2024.78,4423.0,9389.2,1125.97,5243.04,944.4,1541.62,0.0,35.374000549316406,1127.82
2025-01-01,01:00,1799.98,30678.0,5265.68,1885.65,4137.0,9388.8,1129.01,4506.04,948.78,1293.32,0.0,35.374000549316406,1127.82
2025-01-01,02:00,1692.99,28892.0,5246.68,1821.14,3930.0,9389.2,1131.49,3506.04,951.48,1121.13,0.0,35.374000549316406,1127.82
2025-01-01,03:00,2244.99,27699.0,5154.06,1805.3,3769.0,9347.0,1133.42,2715.74,952.58,1056.62,0.0,35.374000549316406,1127.82
2025-01-01,04:00,2400.01,27015.0,5350.01,1741.55,3706.0,9347.0,1135.94,2331.94,946.38,968.15,0.0,35.374000549316406,1127.82
2025-01-01,05:00,2680.0,26890.0,5670.18,1735.08,3725.0,9347.0,1137.41,2174.44,943.38,990.76,0.0,35.374000549316406,1127.82
2025-01-01,06:00,2989.99,27185.0,5690.19,1718.96,3805.6,9347.0,1138.21,2069.14,950.64,1086.59,0.0,35.374000549316406,1127.82
2025-01-01,07:00,2979.99,27415.0,5733.38,1638.42,3852.5,9379.0,1138.04,2863.34,957.74,1216.69,2.58,35.374000549316406,1127.82
2025-01-01,08:00,3000.0,28192.0,5259.89,1548.68,3843.9,9380.0,1137.11,2989.64,954.06,1403.24,135.95,35.374000549316406,1127.82
2025-01-01,09:00,2600.01,30271.0,4895.24,1566.04,3842.2,9393.0,1134.71,2778.64,962.84,1306.85,649.69,35.374000549316406,1127.82
2025-01-01,10:00,1350.0,32491.0,4205.4,1557.27,3743.58,8950.9,1129.33,3190.04,951.77,1288.13,1000.69,35.374000549316406,1127.82
2025-01-01,11:00,1799.98,34537.0,4261.29,1495.65,3705.59,8690.6,1124.65,2917.34,959.83,1155.38,1136.93,35.374000549316406,1127.82
2025-01-01,12:00,1000.0,35203.0,4332.39,1452.13,3683.1,7652.2,1115.41,3274.74,975.71,1111.54,1199.93,35.374000549316406,1127.82
2025-01-01,13:00,1512.63,35794.0,4337.03,1349.81,3624.19,8275.0,1107.99,3204.64,973.66,1099.8,1229.58,35.374000549316406,1127.82
2025-01-01,14:00,2005.01,35897.0,4753.83,1228.0,3575.5,9050.0,1098.82,3228.19,987.14,1207.37,1197.15,35.374000549316406,1127.82
2025-01-01,15:00,2283.04,35798.0,6299.26,1218.58,3581.5,9270.5,1092.79,3632.84,979.69,1379.97,1035.3,35.374000549316406,1127.82
2025-01-01,16:00,3000.0,36570.0,8752.59,1181.61,3651.6,9257.5,1090.45,4518.64,979.17,1709.92,476.17,35.374000549316406,1127.82
2025-01-01,17:00,3000.0,38182.0,9933.7,1151.87,3678.6,9255.5,1092.19,5763.74,970.87,1989.27,37.99,35.374000549316406,1127.82
2025-01-01,18:00,3000.0,38968.0,10328.23,1198.48,3780.6,9255.5,1100.67,7135.74,975.93,2019.33,0.0,35.374000549316406,1127.82
2025-01-01,19:00,3000.0,38447.0,10329.44,1251.52,3756.6,9255.5,1107.58,7016.84,972.58,1854.81,0.0,35.374000549316406,1127.82
2025-01-01,20:00,3000.0,37674.0,10308.61,1341.2,3657.6,9255.5,1114.14,6926.64,965.12,1692.81,0.0,35.374000549316406,1127.82
2025-01-01,21:00,3000.0,36853.0,10172.35,1420.85,3682.6,9255.5,1120.53,6206.44,961.43,1593.41,0.0,35.374000549316406,1127.82
2025-01-01,22:00,2399.99,36302.0,9197.04,1419.58,3708.8,9255.5,1125.77,7143.44,959.83,1335.27,0.0,35.374000549316406,1127.82
2025-01-01,23:00,2274.0,34900.0,8946.55,1447.04,3702.1,9255.5,1129.08,6039.54,956.83,1170.76,0.0,35.374000549316406,1127.82
2025-01-02,00:00,2634.45,37301.0,9051.92,1458.43,3618.1,9312.0,1124.37,4936.14,948.45,1079.57,0.0,35.374000549316406,1127.82
2025-01-02,01:00,2583.43,34688.0,8314.05,1518.73,3833.1,9312.0,1127.62,3517.14,951.77,970.57,0.0,35.374000549316406,1127.82
2025-01-02,02:00,2144.99,33046.0,7365.3,1553.76,3725.1,9312.0,1130.08,3069.64,956.39,949.68,0.0,35.374000549316406,1127.82
2025-01-02,03:00,2112.78,32201.0,7171.81,1692.91,3635.1,9312.0,1131.81,2172.24,941.24,876.36,0.0,35.374000549316406,1127.82
2025-01-02,04:00,1799.98,31941.0,6800.75,1875.18,3743.1,9312.0,1135.24,2045.74,937.45,869.04,0.0,35.374000549316406,1127.82
2025-01-02,05:00,1889.99,32086.0,7178.85,2072.45,3754.1,9312.0,1136.51,1889.74,936.06,889.4,0.0,35.374000549316406,1127.82
2025-01-02,06:00,2482.22,33290.0,9012.78,2302.91,3739.6,9312.0,1136.61,1605.64,934.59,962.23,0.03,35.374000549316406,1127.82
2025-01-02,07:00,2900.01,37070.0,10954.67,2502.98,3800.6,9292.0,1136.54,2377.84,947.64,1225.36,5.49,35.374000549316406,1127.82
