Tarih,Saat,Doğalgaz,Barajlı,Linyit,Akarsu,İthal Kömür,Rüzgar,Güneş,Fuel Oil,Jeotermal,Biyokütle,PTF (TL/MWH),Yük Tahmin Planı (MWh),Dolar_Kuru,dogalgaz_fiyatlari_Mwh
2025-01-01,00:00,6062.69,5510.01,4974.52,1644.69,9733.97,2281.27,0.0,81.51,1347.07,972.71,2494.0,32297.0,35.374000549316406,1127.82
2025-01-01,01:00,5708.52,4552.08,4858.9,1420.32,10074.39,2053.07,0.0,80.01,1346.87,972.21,1799.98,30678.0,35.374000549316406,1127.82
2025-01-01,02:00,5701.83,3531.08,4654.0,1241.9,10078.92,2023.25,0.0,86.96,1351.3,980.4,1692.99,28892.0,35.374000549316406,1127.82
2025-01-01,03:00,5401.49,2599.5,4632.26,1207.19,10052.15,2122.76,0.0,86.76,1353.14,978.32,2244.99,27699.0,35.374000549316406,1127.82
2025-01-01,04:00,5613.98,2275.22,4408.98,1099.38,10049.3,2103.05,0.0,86.45,1353.19,978.22,2400.01,27015.0,35.374000549316406,1127.82
2025-01-01,05:00,5960.49,2102.62,4202.49,1120.84,10035.57,2009.99,0.01,85.85,1352.85,948.15,2680.0,26890.0,35.374000549316406,1127.82
2025-01-01,06:00,5927.26,2068.89,4241.01,1213.05,10044.8,1876.58,0.91,86.75,1351.95,940.85,2989.99,27185.0,35.374000549316406,1127.82
2025-01-01,07:00,5820.14,2707.46,4242.32,1291.25,10076.64,1788.03,18.21,85.95,1355.09,938.29,2979.99,27415.0,35.374000549316406,1127.82
2025-01-01,08:00,4986.92,2473.75,4307.03,1465.85,10077.25,1781.05,284.38,88.45,1353.98,930.29,3000.0,28192.0,35.374000549316406,1127.82
2025-01-01,09:00,4074.64,2300.93,4261.25,1417.03,8929.59,1726.6,1193.82,83.93,1350.11,914.2,2600.01,30271.0,35.374000549316406,1127.82
2025-01-01,10:00,4309.96,2878.57,4069.92,1377.03,6505.57,1730.77,1720.84,82.53,1343.09,927.86,1350.0,32491.0,35.374000549316406,1127.82
2025-01-01,11:00,4022.78,2422.54,4016.1,1244.1,6808.29,1589.74,1776.49,80.64,1330.6,940.87,1799.98,34537.0,35.374000549316406,1127.82
2025-01-01,12:00,4265.6,2254.57,4038.36,1181.33,6446.21,1497.71,1736.83,78.74,1318.68,944.27,1000.0,35203.0,35.374000549316406,1127.82
2025-01-01,13:00,4217.61,2726.74,4043.57,1134.62,6351.4,1380.96,1692.8,81.22,1309.57,944.2,1512.63,35794.0,35.374000549316406,1127.82
2025-01-01,14:00,4343.37,3060.49,4007.37,1296.02,6901.35,1300.75,1711.16,81.62,1304.3,958.32,2005.01,35897.0,35.374000549316406,1127.82
2025-01-01,15:00,6042.53,3554.16,4021.77,1400.59,7773.29,1227.42,1504.72,80.18,1298.3,937.54,2283.04,35798.0,35.374000549316406,1127.82
2025-01-01,16:00,8732.09,4660.0,4024.3,1708.42,9203.39,1297.83,626.32,87.28,1297.44,956.95,3000.0,36570.0,35.374000549316406,1127.82
2025-01-01,17:00,10920.66,7219.64,4079.7,2077.37,9913.01,1396.96,39.94,85.38,1309.18,940.63,3000.0,38182.0,35.374000549316406,1127.82
2025-01-01,18:00,11159.92,8721.77,4189.35,2133.05,9924.32,1519.16,0.14,86.08,1326.79,962.14,3000.0,38968.0,35.374000549316406,1127.82
2025-01-01,19:00,10929.7,8615.66,4245.81,1965.47,9937.27,1590.15,0.01,85.28,1334.77,945.31,3000.0,38447.0,35.374000549316406,1127.82
2025-01-01,20:00,10741.59,8120.49,4220.66,1806.32,9939.61,1737.19,0.01,86.59,1343.21,933.5,3000.0,37674.0,35.374000549316406,1127.82
2025-01-01,21:00,10666.14,7285.82,4230.88,1747.24,9934.4,1780.88,0.01,85.99,1345.41,951.06,3000.0,36853.0,35.374000549316406,1127.82
2025-01-01,22:00,9948.51,7120.37,4248.01,1436.24,9947.05,1742.58,0.01,86.09,1349.81,960.96,2399.99,36302.0,35.374000549316406,1127.82
2025-01-01,23:00,9574.12,6102.62,4317.67,1296.67,9942.28,1697.39,0.01,86.5,1351.14,935.19,2274.0,34900.0,35.374000549316406,1127.82
2025-01-02,00:00,9196.27,4632.86,4326.97,1227.12,9981.41,1755.12,0.01,85.69,1350.75,967.84,2634.45,37301.0,35.374000549316406,1127.82
2025-01-02,01:00,8955.43,3419.88,4159.94,1084.21,9971.52,1726.98,0.01,85.49,1353.66,965.6,2583.43,34688.0,35.374000549316406,1127.82
2025-01-02,02:00,8043.61,2921.86,4088.56,1054.6,9964.41,1844.06,0.01,86.1,1354.81,958.2,2144.99,33046.0,35.374000549316406,1127.82
2025-01-02,03:00,8077.01,2176.89,4083.96,1005.89,9974.12,2003.45,0.01,83.7,1354.14,967.13,2112.78,32201.0,35.374000549316406,1127.82
2025-01-02,04:00,7774.89,2285.14,4084.19,960.15,9984.93,2202.29,0.01,81.5,1354.51,968.8,1799.98,31941.0,35.374000549316406,1127.82
2025-01-02,05:00,7853.63,2206.16,4200.84,982.76,9980.15,2382.22,0.02,85.11,1353.91,966.84,1889.99,32086.0,35.374000549316406,1127.82
2025-01-02,06:00,9262.8,1694.4,4252.41,1091.58,9991.78,2533.88,1.63,85.5,1356.85,963.36,2482.22,33290.0,35.374000549316406,1127.82
2025-01-02,07:00,11843.18,2573.08,4218.04,1319.9,9982.89,2616.26,19.95,86.0,1355.33,977.82,2900.01,37070.0,35.374000549316406,1127.82
2025-01-02,08:00,13007.49,5992.39,4187.82,1849.95,9918.28,2855.88,261.32,90.5,1351.86,977.93,3000.0,43261.0,35.374000549316406,1127.82
2025-01-02,09:00,12399.27,6098.48,4173.87,1751.12,9786.47,3204.33,999.21,90.21,1348.63,963.82,3000.0,45672.0,35.374000549316406,1127.82
