Tarih;Saat;Toplam(MWh);Doğalgaz;Rüzgar;Linyit;Taş Kömür;İthal Kömür;Fueloil;Jeotermal;Barajlı;Nafta;Biyokütle;Akarsu;Gunes;Diğer
03.10.2025 00:00;00:00;32.630,96;7.024,53;4.934,64;4.287,60;272,00;9.383,50;7,30;1.010,21;3.192,79;0,00;947,67;1.341,59;17,72;211,41
03.10.2025 01:00;01:00;30.989,22;6.275,43;5.173,92;4.287,60;272,00;9.383,50;7,30;1.018,11;2.204,79;0,00;945,17;1.193,69;16,43;211,28
03.10.2025 02:00;02:00;29.782,35;5.383,83;5.397,09;4.286,60;272,00;9.383,50;0,30;1.023,61;1.735,09;0,00;937,85;1.134,18;16,90;211,40
03.10.2025 03:00;03:00;29.281,17;4.791,43;5.560,15;4.322,60;272,00;9.156,50;7,30;1.027,21;1.804,09;0,00;929,14;1.183,67;15,78;211,30
03.10.2025 04:00;04:00;29.102,94;4.736,13;5.781,25;4.287,10;272,00;9.156,50;7,30;1.032,17;1.504,09;0,00;928,82;1.165,73;20,55;211,30
03.10.2025 05:00;05:00;29.554,54;4.930,63;5.984,66;4.397,60;272,00;9.156,50;7,30;1.035,40;1.502,99;0,00;928,89;1.095,32;31,70;211,55
03.10.2025 06:00;06:00;29.881,98;4.818,36;6.182,45;4.446,30;272,00;9.156,50;7,30;1.039,29;1.312,29;0,00;935,02;1.252,57;245,51;214,39
03.10.2025 07:00;07:00;31.489,15;4.392,48;6.339,74;4.426,50;272,00;9.163,50;10,40;1.038,55;1.061,19;0,00;945,95;1.293,82;2.304,63;240,39
03.10.2025 08:00;08:00;36.131,51;4.356,26;6.622,50;4.479,90;272,00;9.176,50;19,10;1.029,57;1.245,89;0,20;970,69;1.448,59;6.231,28;279,03
03.10.2025 09:00;09:00;38.137,06;3.641,41;6.682,58;4.411,10;272,00;8.980,50;16,10;1.011,23;1.255,59;0,40;984,73;1.250,14;9.305,14;326,14
03.10.2025 10:00;10:00;39.422,29;3.275,82;6.890,17;4.166,00;135,00;8.773,20;16,00;987,01;1.499,99;0,00;1.000,64;1.059,46;11.262,93;356,07
03.10.2025 11:00;11:00;39.868,93;2.812,11;7.268,99;4.129,00;120,00;8.172,50;15,40;970,02;1.700,49;0,00;1.011,74;1.069,51;12.223,97;375,20
03.10.2025 12:00;12:00;38.013,85;2.716,50;7.330,46;4.086,00;120,00;6.637,00;14,70;951,73;1.495,69;0,00;1.023,62;975,63;12.279,43;383,09
03.10.2025 13:00;13:00;38.002,56;2.718,70;7.267,04;4.220,40;120,00;7.238,85;16,00;938,70;1.474,69;0,00;1.017,76;958,41;11.662,19;369,82
03.10.2025 14:00;14:00;39.810,63;3.301,00;7.003,63;4.257,70;120,00;8.983,10;18,00;939,95;2.481,29;0,00;1.013,49;976,38;10.365,36;350,73
03.10.2025 15:00;15:00;39.177,00;4.335,91;6.708,33;4.341,60;120,00;9.335,50;17,70;947,49;2.694,79;0,00;1.003,16;974,35;8.386,00;312,17
03.10.2025 16:00;16:00;39.844,63;7.408,21;6.206,45;4.505,10;134,00;9.320,50;17,80;955,66;3.466,29;0,00;982,82;1.211,88;5.369,85;266,07
03.10.2025 17:00;17:00;38.335,13;8.842,30;5.557,50;4.532,80;134,00;9.307,50;8,60;964,75;4.528,39;0,00;965,09;1.411,86;1.861,45;220,89
03.10.2025 18:00;18:00;38.701,29;9.101,23;5.127,22;4.557,70;134,00;9.421,20;7,30;983,22;6.464,89;0,00;951,82;1.549,25;197,58;205,88
03.10.2025 19:00;19:00;38.463,67;9.124,62;4.937,71;4.533,35;134,00;9.421,20;7,30;994,38;6.450,29;0,00;951,52;1.680,17;25,17;203,96
03.10.2025 20:00;20:00;38.047,31;9.170,88;4.997,56;4.557,60;134,00;9.421,20;7,30;1.008,17;5.951,99;0,00;948,31;1.629,57;16,65;204,08
03.10.2025 21:00;21:00;37.386,75;9.036,49;5.319,38;4.525,60;134,00;9.395,50;7,30;1.013,69;5.281,69;0,00;943,42;1.507,31;17,95;204,42
03.10.2025 22:00;22:00;36.166,08;8.597,93;5.265,50;4.528,60;134,00;9.395,50;7,30;1.030,68;4.707,39;0,00;916,15;1.361,86;16,85;204,32
03.10.2025 23:00;23:00;34.236,25;7.283,03;5.518,59;4.528,60;134,00;9.395,50;7,30;1.041,28;3.904,29;0,00;942,24;1.260,43;16,67;204,32
04.10.2025 00:00;00:00;32.317,46;5.926,78;5.624,61;4.527,60;134,00;9.231,50;5,00;1.028,30;3.377,68;0,00;926,44;1.314,70;16,40;204,45
04.10.2025 01:00;01:00;30.460,10;5.084,58;5.671,96;4.527,60;134,00;9.231,50;7,00;1.035,68;2.466,68;0,00;908,97;1.170,92;16,62;204,59
04.10.2025 02:00;02:00;29.232,56;4.395,48;5.730,78;4.526,60;134,00;9.231,50;5,00;1.044,43;1.855,68;0,00;922,90;1.164,13;17,31;204,75
04.10.2025 03:00;03:00;28.537,67;4.153,38;5.656,88;4.558,60;134,00;9.039,50;5,00;1.048,85;1.710,18;0,00;923,19;1.087,01;16,70;204,38
04.10.2025 04:00;04:00;28.202,24;4.093,38;5.729,30;4.558,60;134,00;9.039,50;5,00;1.055,42;1.494,78;0,00;922,05;944,21;21,67;204,33
04.10.2025 05:00;05:00;28.406,35;4.101,18;5.741,11;4.558,60;134,00;9.039,50;5,00;1.057,14;1.523,18;0,00;922,70;1.078,48;40,77;204,69
04.10.2025 06:00;06:00;28.466,21;4.123,78;5.904,77;4.558,70;134,00;9.039,50;5,00;1.060,48;1.089,48;0,00;927,80;1.120,34;293,72;208,64
04.10.2025 07:00;07:00;29.083,82;2.614,48;5.990,45;4.453,30;134,00;8.897,00;1,30;1.060,42;1.180,18;0,00;944,77;1.146,81;2.422,97;238,14
04.10.2025 08:00;08:00;33.046,31;2.397,37;6.147,27;4.418,50;134,00;8.679,30;1,80;1.045,62;1.221,48;0,00;979,56;1.102,77;6.635,01;283,63
04.10.2025 09:00;09:00;35.643,95;2.406,27;6.331,28;4.282,90;134,00;7.573,50;2,80;1.025,65;1.286,08;0,00;1.006,93;1.038,57;10.223,96;332,01
04.10.2025 10:00;10:00;36.375,66;2.321,97;6.671,65;4.074,40;120,00;5.560,00;16,30;1.000,66;1.563,78;0,00;1.013,09;1.012,34;12.657,13;364,34
04.10.2025 11:00;11:00;37.146,77;2.321,67;7.051,24;3.987,40;120,00;4.868,00;15,70;984,53;1.601,98;0,00;1.006,57;958,76;13.845,49;385,43
04.10.2025 12:00;12:00;36.315,97;2.324,53;7.040,91;3.894,29;120,00;4.386,00;15,00;973,99;1.429,08;0,00;973,87;820,51;13.943,16;394,63
04.10.2025 13:00;13:00;35.922,93;2.321,17;7.158,17;3.911,60;120,00;4.386,00;16,50;955,14;1.361,08;0,00;974,16;880,33;13.458,58;380,20
04.10.2025 14:00;14:00;35.892,36;2.673,47;6.692,47;3.882,88;120,00;4.854,00;18,30;934,42;2.422,28;0,00;988,69;750,33;12.199,17;356,35
04.10.2025 15:00;15:00;35.468,62;2.951,87;6.186,80;4.069,00;120,00;6.684,50;17,80;933,55;2.550,88;0,00;987,58;764,43;9.885,25;316,96
04.10.2025 16:00;16:00;35.589,36;5.003,60;5.367,85;4.369,89;134,00;8.199,50;17,50;929,35;2.917,38;0,00;975,37;1.072,32;6.336,99;265,61
04.10.2025 17:00;17:00;35.585,31;8.264,77;4.577,86;4.405,80;134,00;8.366,50;8,30;940,02;4.177,68;0,00;947,82;1.231,54;2.310,94;220,08
04.10.2025 18:00;18:00;34.921,83;8.779,30;3.907,29;4.333,70;134,00;8.637,50;5,00;964,24;5.446,38;0,00;906,96;1.368,40;239,11;199,95
04.10.2025 19:00;19:00;34.946,40;8.808,20;3.517,27;4.290,60;134,00;8.637,50;5,00;976,19;5.809,78;0,00;944,48;1.596,96;29,07;197,35
04.10.2025 20:00;20:00;34.645,49;8.820,10;3.329,37;4.299,60;134,00;8.937,50;5,00;994,54;5.402,68;0,00;946,95;1.563,66;14,97;197,12
04.10.2025 21:00;21:00;34.424,61;8.833,10;3.401,30;4.301,60;134,00;9.053,50;5,00;1.010,39;5.066,68;0,00;924,94;1.482,27;14,79;197,04
04.10.2025 22:00;22:00;34.191,43;8.670,20;3.507,33;4.302,60;134,00;9.266,50;7,00;1.024,97;4.827,58;0,00;941,43;1.298,68;14,08;197,06
04.10.2025 23:00;23:00;32.970,69;8.192,67;3.664,52;4.302,60;134,00;9.266,50;5,00;1.031,97;4.050,58;0,00;941,63;1.170,80;13,44;196,98
05.10.2025 00:00;00:00;30.610,74;6.766,41;3.952,49;4.305,60;134,00;9.201,50;5,30;1.030,00;3.060,78;0,00;932,98;984,68;17,68;219,32
05.10.2025 01:00;01:00;29.170,22;6.124,13;4.106,73;4.330,60;134,00;9.201,50;5,30;1.038,18;2.226,78;0,00;910,24;855,61;17,80;219,35
05.10.2025 02:00;02:00;27.506,45;4.951,35;4.100,72;4.352,60;134,00;9.201,50;5,30;1.047,53;1.691,38;0,00;931,32;853,64;17,69;219,42
05.10.2025 03:00;03:00;26.841,09;4.551,03;4.041,29;4.392,60;134,00;9.201,20;5,30;1.053,15;1.513,88;0,00;932,32;778,14;18,80;219,38
05.10.2025 04:00;04:00;26.602,85;4.448,23;3.990,54;4.400,20;134,00;9.201,20;5,30;1.061,69;1.477,88;0,00;930,33;746,97;22,11;184,40
05.10.2025 05:00;05:00;26.887,58;4.536,23;3.908,13;4.425,20;134,00;9.201,20;5,30;1.063,64;1.638,58;0,00;928,82;852,85;44,00;149,63
05.10.2025 06:00;06:00;26.498,08;4.234,63;3.984,42;4.394,10;134,00;9.201,20;5,30;1.066,61;1.178,78;0,00;932,88;933,06;280,13;152,97
05.10.2025 07:00;07:00;26.504,05;2.965,71;3.954,02;4.325,90;134,00;8.523,00;1,50;1.064,12;1.124,28;0,00;940,94;840,70;2.446,93;182,95
05.10.2025 08:00;08:00;27.508,63;2.226,81;3.815,21;4.052,70;134,00;5.754,80;11,80;1.055,78;1.158,48;0,00;964,55;937,59;7.174,34;222,57
05.10.2025 09:00;09:00;29.307,84;1.763,91;3.529,99;3.739,30;120,00;4.656,00;19,90;1.037,60;1.262,08;0,00;969,85;722,62;11.209,56;277,03
05.10.2025 10:00;10:00;30.965,11;1.878,32;3.340,32;3.594,10;120,00;4.434,00;20,70;1.015,93;1.373,28;0,00;986,97;485,72;13.399,36;316,41
05.10.2025 11:00;11:00;32.887,31;2.003,18;3.468,68;3.642,00;120,00;4.426,00;20,10;994,25;2.058,78;0,00;1.000,13;440,02;14.377,36;336,81
