Tarih,Saat,Doğalgaz,Barajlı,Linyit,Akarsu,İthal Kömür,Rüzgar,Güneş,Fuel Oil,Jeotermal,Biyokütle,PTF (TL/MWH),Yük Tahmin Planı (MWh)
01.01.2024,00:00,2316.7,8307.83,5389.08,1651.16,6676.23,1081.98,0.01,86.87,1304.66,992.87,"1,299.98","28,402.00"
01.01.2024,01:00,2129.89,7353.48,5090.44,1656.39,6685.98,1303.25,0.01,86.07,1304.41,980.65,"1,299.98","26,979.00"
01.01.2024,02:00,1842.05,5686.84,5141.9,1532.78,6910.61,1734.21,0.01,84.88,1308.64,989,"1,248.54","25,408.00"
01.01.2024,03:00,1882.47,4940,5051.17,1454.29,6556.29,1978.15,0.01,83.08,1309.39,985.38,"1,299.98","24,359.00"
01.01.2024,04:00,1929.15,4646.57,4739.44,1415.28,6409.74,2130.39,0.01,83.08,1310.8,988.87,"1,200.00","23,757.00"
01.01.2024,05:00,1925.8,4430.57,4707.92,1423.54,6366.38,2258.37,0.01,83.59,1310.27,975.43,"1,200.00","23,648.00"
01.01.2024,06:00,1918.43,4301.23,4828.15,1532.01,6537.2,2387.68,0.71,83.08,1308.45,983.95,"1,248.54","23,907.00"
01.01.2024,07:00,1852.25,4120.17,4965.65,1522.56,6412.51,2689.74,13.54,80.48,1308.05,974.81,"1,299.99","24,109.00"
01.01.2024,08:00,1988.43,4141.23,5149.31,1469.95,6753.13,2856.52,128.65,78.88,1310.15,972.21,"1,299.99","24,792.00"
01.01.2024,09:00,2064.59,4487.59,5122.11,1627.35,5096.82,3073.96,461.62,78.67,1305.16,984.18,"1,399.98","26,621.00"
01.01.2024,10:00,2069.33,4714.58,5120.08,1588.45,5329.16,3187.25,832.98,78.78,1302.7,999.38,"1,299.99","28,573.00"
01.01.2024,11:00,2146.74,5111.66,5120.34,1516.58,5353.28,3156.78,1056.34,78.96,1292.32,992.29,"1,200.00","30,372.00"
01.01.2024,12:00,2087.04,5649,5163.89,1479.28,4919.96,2987.06,1107.95,79.86,1281.14,988.67,"1,000.00","30,958.00"
01.01.2024,13:00,2119.26,6651.1,4975.36,1508.81,4895.22,2901.85,1118.06,80.06,1280.38,993.31,"1,199.99","31,478.00"
01.01.2024,14:00,1958.92,6871.18,4966.57,1587.57,6140.96,3047.32,892.49,81.65,1284.49,988.87,"1,299.98","31,568.00"
01.01.2024,15:00,2250.12,7126.01,5028.29,1548.37,7546.61,3077.12,455.65,83.68,1278.11,976.78,"1,299.98","31,482.00"
01.01.2024,16:00,2479.9,7652.97,5061.01,1865.86,8865.06,3170.14,142.64,94.68,1283.01,973.95,"1,915.15","32,160.00"
01.01.2024,17:00,3103.62,9118.65,5028.62,2169.42,8939.73,3440.86,11.68,94.44,1287.38,960.89,"2,525.00","33,578.00"
01.01.2024,18:00,3048.77,10183.03,5294.05,2314.28,8831.72,3741.22,0.04,89.55,1292.99,966.31,"2,601.44","34,269.00"
01.01.2024,19:00,3084.61,9453.83,5323.16,2055.35,8806.77,3983.77,0.01,85.56,1293.21,969.57,"2,200.01","33,811.00"
01.01.2024,20:00,2881.02,8871.98,5360.6,1871.39,8704.46,4252.03,0.01,81.58,1296.81,979.77,"1,999.99","33,131.00"
01.01.2024,21:00,2388.8,8631.71,5236.32,1810.49,8687.32,4370.14,0.01,81.28,1290.63,979.9,"1,615.00","32,409.00"
01.01.2024,22:00,2100.75,9180.85,5195.02,1668.24,7377.42,4365.86,0.01,81.39,1299.64,997.3,"1,299.98","31,925.00"
01.01.2024,23:00,1961.31,8422.9,5138.41,1516.1,7067.17,4238.39,0.01,81.38,1287.3,987.53,913.64,"30,692.00"
02.01.2024,00:00,1683.33,7019.54,5147.23,1464.39,6847.44,3987.97,0.01,80.17,1306.52,970.59,"1,299.99","34,403.00"
02.01.2024,01:00,1631.49,5923.91,5118.47,1440.46,6498.68,3949.93,0.01,80.27,1310.34,964.35,"1,299.99","32,149.00"
02.01.2024,02:00,1703.09,5661.45,5145.3,1438.97,6083.79,3768.79,0.01,79.87,1309.9,973.82,"1,285.81","30,733.00"
02.01.2024,03:00,1723.62,5542.08,5262.1,1339.52,5713.36,3656.02,0.01,80.67,1323.52,954.12,"1,299.98","29,988.00"
02.01.2024,04:00,1698.49,5312.21,5140.04,1309.04,5730.49,3864.8,0.01,80.98,1277.9,948.53,"1,285.82","29,837.00"
02.01.2024,05:00,1850.18,5188.07,5220.34,1209.24,6176.78,3891.95,0.01,80.28,1308.46,960.7,"1,285.82","30,252.00"
02.01.2024,06:00,2610.77,5396.39,5274.49,1328.27,6597.02,3888.35,0.78,80.28,1308.74,950.49,"1,285.81","31,262.00"
02.01.2024,07:00,3948.94,5613.61,5298.15,1434.33,8314.77,3993.66,9.36,84.58,1310.96,968.97,"1,799.99","33,599.00"
02.01.2024,08:00,6478.48,7351.15,5396.86,1746.78,9074.94,4251.59,84.72,94.68,1312.25,961.74,"2,649.00","37,240.00"
02.01.2024,09:00,7704.28,7884.58,5466.78,1945.59,9087.42,4396.51,363.01,93.28,1299.48,964.67,"2,700.00","38,712.00"
